DATA LOGGER INTERVAL @ 100ms,,,,
TIME(s),y(t)_Output,r(t)_SetPoint,Motor Velocity,u(t)_Input
3.6,-0.039,0.36,-0.015,0.36
3.7,-0.029,0.37,-0.029,0.37
3.8,-0.015,0.38,0.005,0.38
3.9,-0.01,0.39,0.005,0.39
4,-0.02,0.4,0.015,0.4
4.1,-0.029,0.41,0.029,0.41
4.2,-0.005,0.42,0.034,0.42
4.3,-0.015,0.43,0.005,0.43
4.4,-0.015,0.44,0.059,0.44
4.5,-0.039,0.45,0.063,0.45
4.6,-0.015,0.46,0.078,0.46
4.7,-0.01,0.47,0.088,0.47
4.8,-0.005,0.48,0.098,0.48
4.9,-0.01,0.49,0.059,0.49
5,-0.015,0.5,0.127,0.5
5.1,0,0.51,0.137,0.51
5.2,-0.01,0.52,0.171,0.52
5.3,-0.015,0.53,0.2,0.53
5.4,-0.015,0.54,0.205,0.54
5.5,-0.02,0.55,0.239,0.55
5.6,-0.015,0.56,0.254,0.56
5.7,-0.029,0.57,0.269,0.57
5.8,-0.01,0.58,0.313,0.58
5.9,-0.015,0.59,0.313,0.59
6,-0.015,0.6,0.347,0.6
6.1,-0.01,0.61,0.376,0.61
6.2,-0.015,0.62,0.42,0.62
6.3,-0.039,0.63,0.459,0.63
6.4,-0.02,0.64,0.439,0.64
6.5,-0.01,0.65,0.498,0.65
6.6,-0.02,0.66,0.547,0.66
6.7,-0.015,0.67,0.527,0.67
6.8,-0.01,0.68,0.596,0.68
6.9,-0.044,0.69,0.591,0.69
7,-0.049,0.7,0.645,0.7
7.1,-0.005,0.71,0.693,0.71
7.2,-0.015,0.72,0.728,0.72
7.3,-0.068,0.73,0.771,0.73
7.4,-0.015,0.74,0.806,0.74
7.5,-0.01,0.75,0.825,0.75
7.6,-0.024,0.76,0.864,0.76
7.7,0.01,0.77,0.918,0.77
7.8,-0.015,0.78,0.933,0.78
7.9,-0.029,0.79,0.977,0.79
8,-0.015,0.8,0.962,0.8
8.1,-0.015,0.81,1.055,0.81
8.2,-0.01,0.82,1.064,0.82
8.3,-0.005,0.83,1.138,0.83
8.4,-0.01,0.84,1.191,0.84
8.5,-0.068,0.85,1.221,0.85
8.6,-0.039,0.86,1.211,0.86
8.7,-0.01,0.87,1.299,0.87
8.8,-0.015,0.88,1.357,0.88
8.9,-0.01,0.89,1.401,0.89
9,-0.024,0.9,1.421,0.9
9.1,-0.015,0.91,1.416,0.91
9.2,0,0.92,1.528,0.92
9.3,-0.015,0.93,1.553,0.93
9.4,-0.01,0.94,1.543,0.94
9.5,-0.015,0.95,1.636,0.95
9.6,-0.024,0.96,1.689,0.96
9.7,-0.005,0.97,1.699,0.97
9.8,-0.054,0.98,1.748,0.98
9.9,-0.02,0.99,1.812,0.99
10,-0.059,1,1.807,1
10.1,-0.005,1.01,1.831,1.01
10.2,-0.054,1.02,1.914,1.02
10.3,-0.015,1.03,1.924,1.03
10.4,-0.015,1.04,1.982,1.04
10.5,-0.015,1.05,2.056,1.05
10.6,-0.015,1.06,2.09,1.06
10.7,-0.068,1.07,2.09,1.07
10.8,-0.02,1.08,2.192,1.08
10.9,0.01,1.09,2.227,1.09
11,0.005,1.1,2.231,1.1
11.1,-0.01,1.11,2.285,1.11
11.2,-0.015,1.12,2.305,1.12
11.3,-0.029,1.13,2.373,1.13
11.4,-0.024,1.14,2.427,1.14
11.5,-0.073,1.15,2.471,1.15
11.6,-0.01,1.16,2.515,1.16
11.7,-0.01,1.17,2.568,1.17
11.8,-0.039,1.18,2.559,1.18
11.9,-0.044,1.19,2.593,1.19
12,-0.015,1.2,2.671,1.2
12.1,0,1.21,2.725,1.21
12.2,-0.01,1.22,2.764,1.22
12.3,-0.005,1.23,2.842,1.23
12.4,-0.029,1.24,2.881,1.24
12.5,-0.02,1.25,2.925,1.25
12.6,-0.01,1.26,2.959,1.26
12.7,-0.015,1.27,2.988,1.27
12.8,-0.034,1.28,3.037,1.28
12.9,-0.02,1.29,3.071,1.29
13,-0.01,1.3,3.149,1.3
13.1,-0.015,1.31,3.164,1.31
13.2,-0.054,1.32,3.13,1.32
13.3,-0.01,1.33,3.262,1.33
13.4,0,1.34,3.286,1.34
13.5,-0.02,1.35,3.301,1.35
13.6,-0.024,1.36,3.345,1.36
13.7,-0.02,1.37,3.418,1.37
13.8,-0.01,1.38,3.438,1.38
13.9,-0.01,1.39,3.525,1.39
14,-0.01,1.4,3.564,1.4
14.1,-0.005,1.41,3.55,1.41
14.2,-0.01,1.42,3.535,1.42
14.3,-0.02,1.43,3.423,1.43
14.4,-0.01,1.44,3.408,1.44
14.5,-0.049,1.45,3.369,1.45
14.6,-0.024,1.46,3.354,1.46
14.7,-0.005,1.47,3.237,1.47
14.8,-0.015,1.48,3.247,1.48
14.9,-0.015,1.49,3.159,1.49
15,-0.044,1.5,3.159,1.5
15.1,-0.015,1.51,3.11,1.51
15.2,-0.015,1.52,3.037,1.52
15.3,-0.015,1.53,2.959,1.53
15.4,-0.063,1.54,2.92,1.54
15.5,-0.01,1.55,2.852,1.55
15.6,-0.01,1.56,2.852,1.56
15.7,-0.01,1.57,2.798,1.57
15.8,-0.02,1.58,2.793,1.58
15.9,-0.01,1.59,2.725,1.59
16,-0.005,1.6,2.666,1.6
16.1,-0.015,1.61,2.632,1.61
16.2,-0.01,1.62,2.563,1.62
16.3,-0.02,1.63,2.5,1.63
16.4,-0.029,1.64,2.461,1.64
16.5,-0.015,1.65,2.437,1.65
16.6,-0.01,1.66,2.319,1.66
16.7,-0.02,1.67,2.339,1.67
16.8,-0.01,1.68,2.275,1.68
